date,total,subscriber,customer
2014-05-02,13,9,4
2014-05-03,14,4,10
2014-05-04,2,0,2
2014-05-05,12,9,3
2014-05-06,19,8,11
2014-05-07,17,11,6
2014-05-08,8,7,1
2014-05-09,14,5,9
2014-05-10,13,1,12
2014-05-11,12,2,10
2014-05-12,7,5,2
2014-05-13,13,10,3
2014-05-14,12,8,4
2014-05-15,7,6,1
2014-05-16,12,5,7
2014-05-17,10,0,10
2014-05-18,12,0,12
2014-05-19,10,3,7
2014-05-20,6,4,2
2014-05-21,8,5,3
2014-05-22,10,5,5
2014-05-23,9,7,2
2014-05-24,6,2,4
2014-05-25,14,4,10
2014-05-26,6,1,5
2014-05-27,6,2,4
2014-05-28,19,16,3
2014-05-29,22,7,15
2014-05-30,10,6,4
2014-05-31,14,3,11
2014-06-01,12,5,7
2014-06-02,12,8,4
2014-06-03,9,4,5
2014-06-04,9,5,4
2014-06-05,15,7,8
2014-06-06,11,6,5
2014-06-07,2,0,2
2014-06-08,14,6,8
2014-06-09,19,9,10
2014-06-10,9,8,1
2014-06-11,10,10,0
2014-06-12,15,14,1
2014-06-13,13,9,4
2014-06-14,7,2,5
2014-06-15,6,2,4
2014-06-16,14,10,4
2014-06-17,11,10,1
2014-06-18,9,8,1
2014-06-19,8,7,1
2014-06-20,11,7,4
2014-06-21,20,6,14
2014-06-22,20,8,12
2014-06-23,9,5,4
2014-06-24,11,6,5
2014-06-25,13,5,8
2014-06-26,5,5,0
2014-06-27,14,7,7
2014-06-28,15,2,13
2014-06-29,10,4,6
2014-06-30,6,5,1
2014-07-01,8,7,1
2014-07-02,9,7,2
2014-07-03,11,7,4
2014-07-04,4,1,3
2014-07-05,3,2,1
2014-07-06,24,2,22
2014-07-07,16,9,7
2014-07-08,11,9,2
2014-07-09,16,11,5
2014-07-10,11,11,0
2014-07-11,17,10,7
2014-07-12,12,1,11
2014-07-13,9,4,5
2014-07-14,9,9,0
2014-07-15,12,5,7
2014-07-16,9,9,0
2014-07-17,17,12,5
2014-07-18,15,11,4
2014-07-19,6,3,3
2014-07-20,21,3,18
2014-07-21,16,14,2
2014-07-22,15,8,7
2014-07-23,14,9,5
2014-07-24,11,4,7
2014-07-25,13,10,3
2014-07-26,9,1,8
2014-07-27,13,1,12
2014-07-28,20,15,5
2014-07-29,16,7,9
2014-07-30,18,4,14
2014-07-31,15,9,6
2014-08-01,7,4,3
2014-08-02,3,2,1
2014-08-03,11,2,9
2014-08-04,20,10,10
2014-08-05,15,13,2
2014-08-06,17,8,9
2014-08-07,11,5,6
2014-08-08,11,5,6
2014-08-09,23,4,19
2014-08-10,3,0,3
2014-08-11,13,8,5
2014-08-12,16,12,4
2014-08-13,7,6,1
2014-08-14,8,2,6
2014-08-15,7,4,3
2014-08-16,5,1,4
2014-08-17,10,4,6
2014-08-18,14,9,5
2014-08-19,20,13,7
2014-08-20,16,8,8
2014-08-21,11,8,3
2014-08-22,5,4,1
2014-08-23,5,0,5
2014-08-24,10,2,8
2014-08-25,6,5,1
2014-08-26,9,7,2
2014-08-27,17,13,4
2014-08-28,7,3,4
2014-08-29,8,4,4
2014-08-30,1,1,0
2014-08-31,14,1,13
